,pclass,sex,age,sibsp,parch,fare,embarked
147,3,female,9.0,2,2,34.375,S
148,2,male,36.5,0,2,26.0,S
149,2,male,42.0,0,0,13.0,S
150,2,male,51.0,0,0,12.525,S
151,1,female,22.0,1,0,66.6,S
152,3,male,55.5,0,0,8.05,S
153,3,male,40.5,0,2,14.5,S
154,3,male,,0,0,7.3125,S
155,1,male,51.0,0,1,61.3792,C
156,3,female,16.0,0,0,7.7333,Q
157,3,male,30.0,0,0,8.05,S
158,3,male,,0,0,8.6625,S
159,3,male,,8,2,69.55,S
160,3,male,44.0,0,1,16.1,S
161,2,female,40.0,0,0,15.75,S
162,3,male,26.0,0,0,7.775,S
163,3,male,17.0,0,0,8.6625,S
164,3,male,1.0,4,1,39.6875,S
165,3,male,9.0,0,2,20.525,S
166,1,female,,0,1,55.0,S
167,3,female,45.0,1,4,27.9,S
168,1,male,,0,0,25.925,S
169,3,male,28.0,0,0,56.4958,S
170,1,male,61.0,0,0,33.5,S
171,3,male,4.0,4,1,29.125,Q
172,3,female,1.0,1,1,11.1333,S
173,3,male,21.0,0,0,7.925,S
174,1,male,56.0,0,0,30.6958,C
175,3,male,18.0,1,1,7.8542,S
176,3,male,,3,1,25.4667,S
177,1,female,50.0,0,0,28.7125,C
178,2,male,30.0,0,0,13.0,S
179,3,male,36.0,0,0,0.0,S
180,3,female,,8,2,69.55,S
181,2,male,,0,0,15.05,C
182,3,male,9.0,4,2,31.3875,S
183,2,male,1.0,2,1,39.0,S
184,3,female,4.0,0,2,22.025,S
185,1,male,,0,0,50.0,S
186,3,female,,1,0,15.5,Q
187,1,male,45.0,0,0,26.55,S
188,3,male,40.0,1,1,15.5,Q
189,3,male,36.0,0,0,7.8958,S
190,2,female,32.0,0,0,13.0,S
191,2,male,19.0,0,0,13.0,S
192,3,female,19.0,1,0,7.8542,S
193,2,male,3.0,1,1,26.0,S
194,1,female,44.0,0,0,27.7208,C
195,1,female,58.0,0,0,146.5208,C
196,3,male,,0,0,7.75,Q
197,3,male,42.0,0,1,8.4042,S
198,3,female,,0,0,7.75,Q
199,2,female,24.0,0,0,13.0,S
200,3,male,28.0,0,0,9.5,S
201,3,male,,8,2,69.55,S
202,3,male,34.0,0,0,6.4958,S
203,3,male,45.5,0,0,7.225,C
204,3,male,18.0,0,0,8.05,S
205,3,female,2.0,0,1,10.4625,S
206,3,male,32.0,1,0,15.85,S
207,3,male,26.0,0,0,18.7875,C
208,3,female,16.0,0,0,7.75,Q
209,1,male,40.0,0,0,31.0,C
210,3,male,24.0,0,0,7.05,S
211,2,female,35.0,0,0,21.0,S
212,3,male,22.0,0,0,7.25,S
213,2,male,30.0,0,0,13.0,S
214,3,male,,1,0,7.75,Q
215,1,female,31.0,1,0,113.275,C
216,3,female,27.0,0,0,7.925,S
217,2,male,42.0,1,0,27.0,S
218,1,female,32.0,0,0,76.2917,C
219,2,male,30.0,0,0,10.5,S
220,3,male,16.0,0,0,8.05,S
221,2,male,27.0,0,0,13.0,S
222,3,male,51.0,0,0,8.05,S
223,3,male,,0,0,7.8958,S
224,1,male,38.0,1,0,90.0,S
225,3,male,22.0,0,0,9.35,S
226,2,male,19.0,0,0,10.5,S
227,3,male,20.5,0,0,7.25,S
228,2,male,18.0,0,0,13.0,S
229,3,female,,3,1,25.4667,S
230,1,female,35.0,1,0,83.475,S
231,3,male,29.0,0,0,7.775,S
232,2,male,59.0,0,0,13.5,S
233,3,female,5.0,4,2,31.3875,S
234,2,male,24.0,0,0,10.5,S
235,3,female,,0,0,7.55,S
236,2,male,44.0,1,0,26.0,S
237,2,female,8.0,0,2,26.25,S
238,2,male,19.0,0,0,10.5,S
239,2,male,33.0,0,0,12.275,S
240,3,female,,1,0,14.4542,C
241,3,female,,1,0,15.5,Q
242,2,male,29.0,0,0,10.5,S
243,3,male,22.0,0,0,7.125,S
244,3,male,30.0,0,0,7.225,C
245,1,male,44.0,2,0,90.0,Q
246,3,female,25.0,0,0,7.775,S
247,2,female,24.0,0,2,14.5,S
248,1,male,37.0,1,1,52.5542,S
249,2,male,54.0,1,0,26.0,S
250,3,male,,0,0,7.25,S
251,3,female,29.0,1,1,10.4625,S
252,1,male,62.0,0,0,26.55,S
253,3,male,30.0,1,0,16.1,S
254,3,female,41.0,0,2,20.2125,S
255,3,female,29.0,0,2,15.2458,C
256,1,female,,0,0,79.2,C
257,1,female,30.0,0,0,86.5,S
258,1,female,35.0,0,0,512.3292,C
259,2,female,50.0,0,1,26.0,S
260,3,male,,0,0,7.75,Q
261,3,male,3.0,4,2,31.3875,S
262,1,male,52.0,1,1,79.65,S
263,1,male,40.0,0,0,0.0,S
264,3,female,,0,0,7.75,Q
265,2,male,36.0,0,0,10.5,S
266,3,male,16.0,4,1,39.6875,S
267,3,male,25.0,1,0,7.775,S
268,1,female,58.0,0,1,153.4625,S
269,1,female,35.0,0,0,135.6333,S
270,1,male,,0,0,31.0,S
271,3,male,25.0,0,0,0.0,S
272,2,female,41.0,0,1,19.5,S
273,1,male,37.0,0,1,29.7,C
274,3,female,,0,0,7.75,Q
275,1,female,63.0,1,0,77.9583,S
276,3,female,45.0,0,0,7.75,S
277,2,male,,0,0,0.0,S
278,3,male,7.0,4,1,29.125,Q
279,3,female,35.0,1,1,20.25,S
280,3,male,65.0,0,0,7.75,Q
281,3,male,28.0,0,0,7.8542,S
282,3,male,16.0,0,0,9.5,S
283,3,male,19.0,0,0,8.05,S
284,1,male,,0,0,26.0,S
285,3,male,33.0,0,0,8.6625,C
286,3,male,30.0,0,0,9.5,S
287,3,male,22.0,0,0,7.8958,S
288,2,male,42.0,0,0,13.0,S
289,3,female,22.0,0,0,7.75,Q
290,1,female,26.0,0,0,78.85,S
291,1,female,19.0,1,0,91.0792,C
292,2,male,36.0,0,0,12.875,C
293,3,female,24.0,0,0,8.85,S
294,3,male,24.0,0,0,7.8958,S
295,1,male,,0,0,27.7208,C
296,3,male,23.5,0,0,7.2292,C
297,1,female,2.0,1,2,151.55,S
298,1,male,,0,0,30.5,S
299,1,female,50.0,0,1,247.5208,C
300,3,female,,0,0,7.75,Q
301,3,male,,2,0,23.25,Q
302,3,male,19.0,0,0,0.0,S
303,2,female,,0,0,12.35,Q
304,3,male,,0,0,8.05,S
305,1,male,0.92,1,2,151.55,S
306,1,female,,0,0,110.8833,C
307,1,female,17.0,1,0,108.9,C
308,2,male,30.0,1,0,24.0,C
309,1,female,30.0,0,0,56.9292,C
310,1,female,24.0,0,0,83.1583,C
311,1,female,18.0,2,2,262.375,C
312,2,female,26.0,1,1,26.0,S
313,3,male,28.0,0,0,7.8958,S
314,2,male,43.0,1,1,26.25,S
315,3,female,26.0,0,0,7.8542,S
316,2,female,24.0,1,0,26.0,S
317,2,male,54.0,0,0,14.0,S
318,1,female,31.0,0,2,164.8667,S
319,1,female,40.0,1,1,134.5,C
320,3,male,22.0,0,0,7.25,S
321,3,male,27.0,0,0,7.8958,S
322,2,female,30.0,0,0,12.35,Q
323,2,female,22.0,1,1,29.0,S
324,3,male,,8,2,69.55,S
325,1,female,36.0,0,0,135.6333,C
326,3,male,61.0,0,0,6.2375,S
327,2,female,36.0,0,0,13.0,S
328,3,female,31.0,1,1,20.525,S
329,1,female,16.0,0,1,57.9792,C
330,3,female,,2,0,23.25,Q
331,1,male,45.5,0,0,28.5,S
332,1,male,38.0,0,1,153.4625,S
333,3,male,16.0,2,0,18.0,S
334,1,female,,1,0,133.65,S
335,3,male,,0,0,7.8958,S
336,1,male,29.0,1,0,66.6,S
337,1,female,41.0,0,0,134.5,C
338,3,male,45.0,0,0,8.05,S
339,1,male,45.0,0,0,35.5,S
340,2,male,2.0,1,1,26.0,S
341,1,female,24.0,3,2,263.0,S
342,2,male,28.0,0,0,13.0,S
343,2,male,25.0,0,0,13.0,S
344,2,male,36.0,0,0,13.0,S
345,2,female,24.0,0,0,13.0,S
346,2,female,40.0,0,0,13.0,S
347,3,female,,1,0,16.1,S
348,3,male,3.0,1,1,15.9,S
349,3,male,42.0,0,0,8.6625,S
350,3,male,23.0,0,0,9.225,S
351,1,male,,0,0,35.0,S
352,3,male,15.0,1,1,7.2292,C
353,3,male,25.0,1,0,17.8,S
354,3,male,,0,0,7.225,C
355,3,male,28.0,0,0,9.5,S
356,1,female,22.0,0,1,55.0,S
357,2,female,38.0,0,0,13.0,S
358,3,female,,0,0,7.8792,Q
359,3,female,,0,0,7.8792,Q
360,3,male,40.0,1,4,27.9,S
361,2,male,29.0,1,0,27.7208,C
362,3,female,45.0,0,1,14.4542,C
363,3,male,35.0,0,0,7.05,S
364,3,male,,1,0,15.5,Q
365,3,male,30.0,0,0,7.25,S
366,1,female,60.0,1,0,75.25,C
367,3,female,,0,0,7.2292,C
368,3,female,,0,0,7.75,Q
369,1,female,24.0,0,0,69.3,C
370,1,male,25.0,1,0,55.4417,C
371,3,male,18.0,1,0,6.4958,S
372,3,male,19.0,0,0,8.05,S
373,1,male,22.0,0,0,135.6333,C
374,3,female,3.0,3,1,21.075,S
375,1,female,,1,0,82.1708,C
376,3,female,22.0,0,0,7.25,S
377,1,male,27.0,0,2,211.5,C
378,3,male,20.0,0,0,4.0125,C
379,3,male,19.0,0,0,7.775,S
380,1,female,42.0,0,0,227.525,C
381,3,female,1.0,0,2,15.7417,C
382,3,male,32.0,0,0,7.925,S
383,1,female,35.0,1,0,52.0,S
384,3,male,,0,0,7.8958,S
385,2,male,18.0,0,0,73.5,S
386,3,male,1.0,5,2,46.9,S
387,2,female,36.0,0,0,13.0,S
388,3,male,,0,0,7.7292,Q
389,2,female,17.0,0,0,12.0,C
390,1,male,36.0,1,2,120.0,S
391,3,male,21.0,0,0,7.7958,S
392,3,male,28.0,2,0,7.925,S
393,1,female,23.0,1,0,113.275,C
394,3,female,24.0,0,2,16.7,S
395,3,male,22.0,0,0,7.7958,S
396,3,female,31.0,0,0,7.8542,S
397,2,male,46.0,0,0,26.0,S
398,2,male,23.0,0,0,10.5,S
399,2,female,28.0,0,0,12.65,S
400,3,male,39.0,0,0,7.925,S
401,3,male,26.0,0,0,8.05,S
402,3,female,21.0,1,0,9.825,S
403,3,male,28.0,1,0,15.85,S
404,3,female,20.0,0,0,8.6625,S
405,2,male,34.0,1,0,21.0,S
406,3,male,51.0,0,0,7.75,S
407,2,male,3.0,1,1,18.75,S
408,3,male,21.0,0,0,7.775,S
409,3,female,,3,1,25.4667,S
410,3,male,,0,0,7.8958,S
411,3,male,,0,0,6.8583,Q
412,1,female,33.0,1,0,90.0,Q
413,2,male,,0,0,0.0,S
414,3,male,44.0,0,0,7.925,S
415,3,female,,0,0,8.05,S
416,2,female,34.0,1,1,32.5,S
417,2,female,18.0,0,2,13.0,S
418,2,male,30.0,0,0,13.0,S
419,3,female,10.0,0,2,24.15,S
420,3,male,,0,0,7.8958,C
421,3,male,21.0,0,0,7.7333,Q
422,3,male,29.0,0,0,7.875,S
423,3,female,28.0,1,1,14.4,S
424,3,male,18.0,1,1,20.2125,S
425,3,male,,0,0,7.25,S
426,2,female,28.0,1,0,26.0,S
427,2,female,19.0,0,0,26.0,S
428,3,male,,0,0,7.75,Q
429,3,male,32.0,0,0,8.05,S
430,1,male,28.0,0,0,26.55,S
431,3,female,,1,0,16.1,S
432,2,female,42.0,1,0,26.0,S
433,3,male,17.0,0,0,7.125,S
434,1,male,50.0,1,0,55.9,S
435,1,female,14.0,1,2,120.0,S
436,3,female,21.0,2,2,34.375,S
437,2,female,24.0,2,3,18.75,S
438,1,male,64.0,1,4,263.0,S
439,2,male,31.0,0,0,10.5,S
440,2,female,45.0,1,1,26.25,S
441,3,male,20.0,0,0,9.5,S
442,3,male,25.0,1,0,7.775,S
443,2,female,28.0,0,0,13.0,S
444,3,male,,0,0,8.1125,S
445,1,male,4.0,0,2,81.8583,S
446,2,female,13.0,0,1,19.5,S
447,1,male,34.0,0,0,26.55,S
448,3,female,5.0,2,1,19.2583,C
449,1,male,52.0,0,0,30.5,S
450,2,male,36.0,1,2,27.75,S
451,3,male,,1,0,19.9667,S
452,1,male,30.0,0,0,27.75,C
453,1,male,49.0,1,0,89.1042,C
454,3,male,,0,0,8.05,S
455,3,male,29.0,0,0,7.8958,C
456,1,male,65.0,0,0,26.55,S
457,1,female,,1,0,51.8625,S
458,2,female,50.0,0,0,10.5,S
459,3,male,,0,0,7.75,Q
460,1,male,48.0,0,0,26.55,S
461,3,male,34.0,0,0,8.05,S
462,1,male,47.0,0,0,38.5,S
463,2,male,48.0,0,0,13.0,S
464,3,male,,0,0,8.05,S
465,3,male,38.0,0,0,7.05,S
466,2,male,,0,0,0.0,S
467,1,male,56.0,0,0,26.55,S
468,3,male,,0,0,7.725,Q
469,3,female,0.75,2,1,19.2583,C
470,3,male,,0,0,7.25,S
471,3,male,38.0,0,0,8.6625,S
472,2,female,33.0,1,2,27.75,S
473,2,female,23.0,0,0,13.7917,C
474,3,female,22.0,0,0,9.8375,S
475,1,male,,0,0,52.0,S
476,2,male,34.0,1,0,21.0,S
477,3,male,29.0,1,0,7.0458,S
478,3,male,22.0,0,0,7.5208,S
479,3,female,2.0,0,1,12.2875,S
480,3,male,9.0,5,2,46.9,S
481,2,male,,0,0,0.0,S
482,3,male,50.0,0,0,8.05,S
483,3,female,63.0,0,0,9.5875,S
484,1,male,25.0,1,0,91.0792,C
485,3,female,,3,1,25.4667,S
486,1,female,35.0,1,0,90.0,S
487,1,male,58.0,0,0,29.7,C
488,3,male,30.0,0,0,8.05,S
489,3,male,9.0,1,1,15.9,S
490,3,male,,1,0,19.9667,S
491,3,male,21.0,0,0,7.25,S
492,1,male,55.0,0,0,30.5,S
493,1,male,71.0,0,0,49.5042,C
494,3,male,21.0,0,0,8.05,S
495,3,male,,0,0,14.4583,C
496,1,female,54.0,1,0,78.2667,C
497,3,male,,0,0,15.1,S
498,1,female,25.0,1,2,151.55,S
499,3,male,24.0,0,0,7.7958,S
500,3,male,17.0,0,0,8.6625,S
501,3,female,21.0,0,0,7.75,Q
502,3,female,,0,0,7.6292,Q
503,3,female,37.0,0,0,9.5875,S
504,1,female,16.0,0,0,86.5,S
505,1,male,18.0,1,0,108.9,C
506,2,female,33.0,0,2,26.0,S
507,1,male,,0,0,26.55,S
508,3,male,28.0,0,0,22.525,S
509,3,male,26.0,0,0,56.4958,S
510,3,male,29.0,0,0,7.75,Q
511,3,male,,0,0,8.05,S
512,1,male,36.0,0,0,26.2875,S
513,1,female,54.0,1,0,59.4,C
514,3,male,24.0,0,0,7.4958,S
515,1,male,47.0,0,0,34.0208,S
516,2,female,34.0,0,0,10.5,S
517,3,male,,0,0,24.15,Q
518,2,female,36.0,1,0,26.0,S
519,3,male,32.0,0,0,7.8958,S
520,1,female,30.0,0,0,93.5,S
521,3,male,22.0,0,0,7.8958,S
522,3,male,,0,0,7.225,C
523,1,female,44.0,0,1,57.9792,C
524,3,male,,0,0,7.2292,C
525,3,male,40.5,0,0,7.75,Q
526,2,female,50.0,0,0,10.5,S
527,1,male,,0,0,221.7792,S
528,3,male,39.0,0,0,7.925,S
529,2,male,23.0,2,1,11.5,S
530,2,female,2.0,1,1,26.0,S
531,3,male,,0,0,7.2292,C
532,3,male,17.0,1,1,7.2292,C
533,3,female,,0,2,22.3583,C
534,3,female,30.0,0,0,8.6625,S
535,2,female,7.0,0,2,26.25,S
536,1,male,45.0,0,0,26.55,S
537,1,female,30.0,0,0,106.425,C
538,3,male,,0,0,14.5,S
539,1,female,22.0,0,2,49.5,C
540,1,female,36.0,0,2,71.0,S
541,3,female,9.0,4,2,31.275,S
542,3,female,11.0,4,2,31.275,S
543,2,male,32.0,1,0,26.0,S
544,1,male,50.0,1,0,106.425,C
545,1,male,64.0,0,0,26.0,S
546,2,female,19.0,1,0,26.0,S
547,2,male,,0,0,13.8625,C
548,3,male,33.0,1,1,20.525,S
549,2,male,8.0,1,1,36.75,S
550,1,male,17.0,0,2,110.8833,C
551,2,male,27.0,0,0,26.0,S
552,3,male,,0,0,7.8292,Q
553,3,male,22.0,0,0,7.225,C
554,3,female,22.0,0,0,7.775,S
555,1,male,62.0,0,0,26.55,S
556,1,female,48.0,1,0,39.6,C
557,1,male,,0,0,227.525,C
558,1,female,39.0,1,1,79.65,S
559,3,female,36.0,1,0,17.4,S
560,3,male,,0,0,7.75,Q
561,3,male,40.0,0,0,7.8958,S
562,2,male,28.0,0,0,13.5,S
563,3,male,,0,0,8.05,S
564,3,female,,0,0,8.05,S
565,3,male,24.0,2,0,24.15,S
566,3,male,19.0,0,0,7.8958,S
567,3,female,29.0,0,4,21.075,S
568,3,male,,0,0,7.2292,C
569,3,male,32.0,0,0,7.8542,S
570,2,male,62.0,0,0,10.5,S
571,1,female,53.0,2,0,51.4792,S
572,1,male,36.0,0,0,26.3875,S
573,3,female,,0,0,7.75,Q
574,3,male,16.0,0,0,8.05,S
575,3,male,19.0,0,0,14.5,S
576,2,female,34.0,0,0,13.0,S
577,1,female,39.0,1,0,55.9,S
578,3,female,,1,0,14.4583,C
579,3,male,32.0,0,0,7.925,S
580,2,female,25.0,1,1,30.0,S
581,1,female,39.0,1,1,110.8833,C
582,2,male,54.0,0,0,26.0,S
583,1,male,36.0,0,0,40.125,C
584,3,male,,0,0,8.7125,C
585,1,female,18.0,0,2,79.65,S
586,2,male,47.0,0,0,15.0,S
587,1,male,60.0,1,1,79.2,C
588,3,male,22.0,0,0,8.05,S
589,3,male,,0,0,8.05,S
590,3,male,35.0,0,0,7.125,S
591,1,female,52.0,1,0,78.2667,C
592,3,male,47.0,0,0,7.25,S
593,3,female,,0,2,7.75,Q
594,2,male,37.0,1,0,26.0,S
595,3,male,36.0,1,1,24.15,S
596,2,female,,0,0,33.0,S
597,3,male,49.0,0,0,0.0,S
598,3,male,,0,0,7.225,C
599,1,male,49.0,1,0,56.9292,C
600,2,female,24.0,2,1,27.0,S
601,3,male,,0,0,7.8958,S
602,1,male,,0,0,42.4,S
603,3,male,44.0,0,0,8.05,S
604,1,male,35.0,0,0,26.55,C
605,3,male,36.0,1,0,15.55,S
606,3,male,30.0,0,0,7.8958,S
607,1,male,27.0,0,0,30.5,S
608,2,female,22.0,1,2,41.5792,C
609,1,female,40.0,0,0,153.4625,S
610,3,female,39.0,1,5,31.275,S
611,3,male,,0,0,7.05,S
612,3,female,,1,0,15.5,Q
613,3,male,,0,0,7.75,Q
614,3,male,35.0,0,0,8.05,S
615,2,female,24.0,1,2,65.0,S
616,3,male,34.0,1,1,14.4,S
617,3,female,26.0,1,0,16.1,S
618,2,female,4.0,2,1,39.0,S
619,2,male,26.0,0,0,10.5,S
620,3,male,27.0,1,0,14.4542,C
621,1,male,42.0,1,0,52.5542,S
622,3,male,20.0,1,1,15.7417,C
623,3,male,21.0,0,0,7.8542,S
624,3,male,21.0,0,0,16.1,S
625,1,male,61.0,0,0,32.3208,S
626,2,male,57.0,0,0,12.35,Q
627,1,female,21.0,0,0,77.9583,S
628,3,male,26.0,0,0,7.8958,S
629,3,male,,0,0,7.7333,Q
630,1,male,80.0,0,0,30.0,S
631,3,male,51.0,0,0,7.0542,S
632,1,male,32.0,0,0,30.5,C
633,1,male,,0,0,0.0,S
634,3,female,9.0,3,2,27.9,S
635,2,female,28.0,0,0,13.0,S
636,3,male,32.0,0,0,7.925,S
637,2,male,31.0,1,1,26.25,S
638,3,female,41.0,0,5,39.6875,S
639,3,male,,1,0,16.1,S
640,3,male,20.0,0,0,7.8542,S
641,1,female,24.0,0,0,69.3,C
642,3,female,2.0,3,2,27.9,S
643,3,male,,0,0,56.4958,S
644,3,female,0.75,2,1,19.2583,C
645,1,male,48.0,1,0,76.7292,C
646,3,male,19.0,0,0,7.8958,S
647,1,male,56.0,0,0,35.5,C
648,3,male,,0,0,7.55,S
649,3,female,23.0,0,0,7.55,S
650,3,male,,0,0,7.8958,S
651,2,female,18.0,0,1,23.0,S
652,3,male,21.0,0,0,8.4333,S
653,3,female,,0,0,7.8292,Q
654,3,female,18.0,0,0,6.75,Q
655,2,male,24.0,2,0,73.5,S
656,3,male,,0,0,7.8958,S
657,3,female,32.0,1,1,15.5,Q
658,2,male,23.0,0,0,13.0,S
659,1,male,58.0,0,2,113.275,C
660,1,male,50.0,2,0,133.65,S
661,3,male,40.0,0,0,7.225,C
662,1,male,47.0,0,0,25.5875,S
663,3,male,36.0,0,0,7.4958,S
664,3,male,20.0,1,0,7.925,S
665,2,male,32.0,2,0,73.5,S
666,2,male,25.0,0,0,13.0,S
667,3,male,,0,0,7.775,S
668,3,male,43.0,0,0,8.05,S
669,1,female,,1,0,52.0,S
670,2,female,40.0,1,1,39.0,S
671,1,male,31.0,1,0,52.0,S
672,2,male,70.0,0,0,10.5,S
673,2,male,31.0,0,0,13.0,S
674,2,male,,0,0,0.0,S
675,3,male,18.0,0,0,7.775,S
676,3,male,24.5,0,0,8.05,S
677,3,female,18.0,0,0,9.8417,S
678,3,female,43.0,1,6,46.9,S
679,1,male,36.0,0,1,512.3292,C
680,3,female,,0,0,8.1375,Q
681,1,male,27.0,0,0,76.7292,C
682,3,male,20.0,0,0,9.225,S
683,3,male,14.0,5,2,46.9,S
684,2,male,60.0,1,1,39.0,S
685,2,male,25.0,1,2,41.5792,C
686,3,male,14.0,4,1,39.6875,S
687,3,male,19.0,0,0,10.1708,S
688,3,male,18.0,0,0,7.7958,S
689,1,female,15.0,0,1,211.3375,S
690,1,male,31.0,1,0,57.0,S
691,3,female,4.0,0,1,13.4167,C
692,3,male,,0,0,56.4958,S
693,3,male,25.0,0,0,7.225,C
694,1,male,60.0,0,0,26.55,S
695,2,male,52.0,0,0,13.5,S
696,3,male,44.0,0,0,8.05,S
697,3,female,,0,0,7.7333,Q
698,1,male,49.0,1,1,110.8833,C
699,3,male,42.0,0,0,7.65,S
700,1,female,18.0,1,0,227.525,C
701,1,male,35.0,0,0,26.2875,S
702,3,female,18.0,0,1,14.4542,C
703,3,male,25.0,0,0,7.7417,Q
