,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
100,3.0,,No,5.0,4.0,27.0
101,5.0,70.0,Yes,9.0,6.0,61.0
102,,51.0,No,7.0,6.0,34.0
103,1.0,99.0,No,,9.0,76.0
104,5.0,70.0,No,8.0,,57.0
105,7.0,53.0,No,5.0,9.0,45.0
106,7.0,90.0,Yes,,1.0,76.0
107,9.0,83.0,Yes,8.0,7.0,83.0
108,3.0,71.0,Yes,5.0,0.0,50.0
109,7.0,89.0,No,8.0,1.0,81.0
110,1.0,92.0,No,4.0,6.0,66.0
111,4.0,56.0,Yes,8.0,3.0,38.0
112,4.0,74.0,No,8.0,,56.0
113,5.0,40.0,No,4.0,9.0,25.0
114,7.0,68.0,No,4.0,8.0,56.0
115,7.0,90.0,Yes,4.0,8.0,
116,4.0,43.0,Yes,7.0,2.0,23.0
117,7.0,62.0,Yes,9.0,2.0,56.0
118,3.0,67.0,No,9.0,8.0,46.0
119,6.0,55.0,Yes,4.0,9.0,43.0
120,2.0,51.0,Yes,9.0,7.0,30.0
121,9.0,92.0,Yes,8.0,0.0,92.0
122,5.0,60.0,No,4.0,5.0,45.0
123,6.0,84.0,No,5.0,6.0,70.0
124,,56.0,No,4.0,7.0,36.0
125,7.0,79.0,No,4.0,1.0,71.0
126,9.0,52.0,No,9.0,0.0,49.0
127,7.0,91.0,Yes,6.0,3.0,82.0
128,1.0,97.0,Yes,8.0,0.0,71.0
129,1.0,71.0,No,9.0,1.0,43.0
130,9.0,76.0,No,8.0,2.0,77.0
131,9.0,89.0,Yes,5.0,,86.0
132,4.0,54.0,No,7.0,5.0,34.0
133,9.0,51.0,No,6.0,7.0,49.0
134,3.0,88.0,No,,8.0,69.0
135,7.0,96.0,No,5.0,3.0,84.0
136,6.0,54.0,No,8.0,,41.0
137,8.0,73.0,Yes,6.0,4.0,68.0
138,9.0,45.0,,8.0,4.0,
139,5.0,56.0,No,7.0,8.0,41.0
140,1.0,87.0,No,8.0,5.0,58.0
141,3.0,88.0,Yes,4.0,4.0,68.0
142,8.0,96.0,No,8.0,9.0,94.0
143,6.0,59.0,Yes,4.0,9.0,47.0
144,8.0,48.0,,5.0,4.0,40.0
145,,98.0,Yes,7.0,7.0,
146,4.0,44.0,Yes,9.0,0.0,23.0
147,1.0,62.0,No,4.0,4.0,36.0
148,1.0,72.0,No,7.0,0.0,47.0
149,4.0,77.0,Yes,,6.0,60.0
150,7.0,95.0,No,9.0,6.0,83.0
151,2.0,53.0,Yes,8.0,9.0,33.0
152,3.0,56.0,,5.0,7.0,36.0
153,1.0,96.0,No,,6.0,74.0
154,5.0,58.0,No,4.0,8.0,42.0
155,1.0,72.0,Yes,5.0,7.0,47.0
156,8.0,40.0,Yes,7.0,7.0,31.0
157,1.0,52.0,No,5.0,2.0,26.0
158,1.0,85.0,,7.0,9.0,58.0
159,2.0,66.0,No,6.0,3.0,42.0
160,2.0,45.0,Yes,4.0,3.0,18.0
161,6.0,98.0,No,4.0,0.0,85.0
162,,45.0,Yes,7.0,5.0,36.0
163,5.0,72.0,,8.0,1.0,58.0
164,1.0,69.0,Yes,9.0,8.0,45.0
165,1.0,85.0,Yes,8.0,0.0,60.0
166,3.0,74.0,Yes,6.0,0.0,56.0
167,2.0,62.0,Yes,7.0,9.0,42.0
168,,49.0,No,6.0,,33.0
169,6.0,90.0,No,7.0,0.0,77.0
170,7.0,58.0,Yes,6.0,2.0,
171,4.0,90.0,No,7.0,9.0,72.0
172,7.0,67.0,Yes,4.0,1.0,57.0
173,8.0,62.0,No,6.0,8.0,53.0
174,1.0,43.0,No,6.0,4.0,16.0
175,6.0,59.0,No,7.0,5.0,45.0
176,8.0,58.0,No,5.0,,49.0
177,5.0,81.0,Yes,5.0,7.0,67.0
178,4.0,66.0,No,4.0,,49.0
179,2.0,96.0,No,8.0,7.0,73.0
180,6.0,73.0,No,8.0,7.0,65.0
181,6.0,43.0,Yes,4.0,0.0,27.0
182,1.0,95.0,,8.0,6.0,72.0
183,9.0,77.0,Yes,9.0,1.0,74.0
184,6.0,46.0,Yes,9.0,7.0,38.0
185,3.0,87.0,No,9.0,1.0,67.0
186,4.0,46.0,Yes,9.0,3.0,28.0
187,4.0,89.0,No,7.0,1.0,73.0
188,3.0,91.0,No,5.0,6.0,72.0
189,3.0,65.0,No,4.0,4.0,42.0
190,3.0,65.0,No,7.0,8.0,47.0
191,4.0,93.0,No,9.0,4.0,77.0
192,7.0,58.0,No,4.0,7.0,49.0
193,4.0,48.0,No,5.0,1.0,30.0
194,9.0,59.0,Yes,8.0,2.0,54.0
195,1.0,81.0,Yes,7.0,5.0,56.0
196,8.0,84.0,No,5.0,6.0,75.0
197,7.0,89.0,No,4.0,9.0,78.0
198,2.0,55.0,Yes,,7.0,
199,8.0,93.0,No,7.0,2.0,89.0
200,1.0,56.0,Yes,4.0,6.0,29.0
201,9.0,61.0,Yes,4.0,7.0,57.0
202,9.0,52.0,,,9.0,48.0
203,2.0,51.0,No,4.0,5.0,27.0
204,7.0,49.0,Yes,7.0,3.0,38.0
205,3.0,40.0,Yes,9.0,,18.0
206,7.0,71.0,No,7.0,8.0,66.0
207,9.0,69.0,No,4.0,2.0,65.0
208,4.0,47.0,Yes,5.0,1.0,27.0
209,1.0,60.0,Yes,7.0,4.0,33.0
210,2.0,61.0,Yes,6.0,6.0,37.0
211,1.0,57.0,No,9.0,2.0,29.0
212,5.0,41.0,No,8.0,4.0,26.0
213,5.0,87.0,No,,3.0,72.0
214,7.0,83.0,Yes,5.0,6.0,77.0
215,9.0,48.0,Yes,8.0,1.0,45.0
216,9.0,42.0,No,8.0,,41.0
217,3.0,93.0,Yes,7.0,1.0,73.0
218,3.0,65.0,Yes,4.0,2.0,43.0
219,3.0,60.0,Yes,4.0,,
220,4.0,69.0,Yes,6.0,6.0,54.0
221,8.0,67.0,Yes,9.0,5.0,
222,6.0,75.0,No,4.0,6.0,63.0
223,8.0,65.0,No,6.0,5.0,59.0
224,1.0,73.0,No,6.0,0.0,46.0
225,,,No,5.0,4.0,42.0
226,4.0,49.0,No,5.0,0.0,30.0
227,1.0,87.0,Yes,9.0,6.0,63.0
228,8.0,94.0,Yes,7.0,3.0,89.0
229,,82.0,Yes,8.0,4.0,62.0
230,6.0,89.0,No,,0.0,77.0
231,8.0,93.0,Yes,9.0,7.0,88.0
232,4.0,53.0,Yes,,3.0,35.0
233,3.0,79.0,Yes,9.0,2.0,60.0
234,9.0,94.0,No,8.0,0.0,92.0
235,3.0,54.0,Yes,6.0,3.0,38.0
236,9.0,56.0,Yes,8.0,2.0,56.0
237,2.0,92.0,No,7.0,7.0,70.0
238,2.0,57.0,No,5.0,8.0,35.0
239,2.0,71.0,Yes,5.0,4.0,47.0
240,6.0,77.0,No,6.0,8.0,66.0
241,3.0,62.0,Yes,9.0,0.0,43.0
242,9.0,,No,8.0,6.0,81.0
243,4.0,62.0,Yes,4.0,6.0,43.0
244,1.0,74.0,,,5.0,46.0
245,4.0,78.0,No,8.0,3.0,61.0
246,1.0,54.0,No,4.0,8.0,27.0
247,5.0,92.0,No,7.0,2.0,77.0
248,4.0,63.0,No,7.0,,43.0
249,8.0,67.0,Yes,5.0,1.0,60.0
250,8.0,55.0,No,6.0,2.0,48.0
251,7.0,55.0,Yes,8.0,1.0,
252,3.0,79.0,Yes,7.0,5.0,60.0
253,1.0,78.0,Yes,8.0,6.0,53.0
254,1.0,45.0,No,7.0,4.0,19.0
255,3.0,41.0,Yes,9.0,4.0,23.0
256,6.0,93.0,Yes,5.0,6.0,81.0
257,7.0,52.0,No,6.0,5.0,41.0
258,6.0,83.0,Yes,4.0,7.0,71.0
259,6.0,86.0,Yes,4.0,8.0,75.0
260,6.0,98.0,Yes,9.0,1.0,89.0
261,3.0,48.0,No,5.0,1.0,28.0
262,6.0,,Yes,7.0,0.0,60.0
263,8.0,56.0,Yes,5.0,6.0,54.0
264,2.0,66.0,Yes,6.0,,41.0
265,5.0,68.0,No,4.0,8.0,52.0
266,1.0,76.0,No,8.0,5.0,53.0
267,1.0,82.0,No,4.0,6.0,52.0
268,5.0,61.0,Yes,6.0,,47.0
269,3.0,90.0,Yes,,7.0,71.0
270,4.0,63.0,Yes,5.0,3.0,42.0
271,3.0,46.0,Yes,4.0,2.0,21.0
272,1.0,73.0,Yes,4.0,2.0,48.0
273,1.0,,No,8.0,,64.0
274,5.0,51.0,Yes,5.0,7.0,38.0
275,6.0,62.0,Yes,8.0,2.0,49.0
276,3.0,54.0,No,8.0,7.0,35.0
277,,72.0,No,7.0,1.0,73.0
278,5.0,96.0,Yes,4.0,4.0,81.0
279,8.0,52.0,No,9.0,4.0,47.0
280,1.0,62.0,No,5.0,6.0,36.0
281,5.0,77.0,No,7.0,4.0,63.0
282,3.0,71.0,Yes,9.0,8.0,52.0
283,1.0,84.0,No,7.0,,58.0
284,4.0,89.0,Yes,7.0,8.0,77.0
285,5.0,74.0,No,6.0,0.0,58.0
286,7.0,40.0,Yes,6.0,2.0,33.0
287,1.0,86.0,Yes,7.0,3.0,67.0
288,3.0,97.0,Yes,6.0,5.0,76.0
289,,,No,5.0,9.0,62.0
290,9.0,,No,4.0,7.0,37.0
291,6.0,96.0,No,9.0,6.0,86.0
292,3.0,52.0,Yes,5.0,7.0,37.0
293,8.0,93.0,No,4.0,5.0,88.0
294,8.0,44.0,No,6.0,5.0,38.0
295,2.0,99.0,Yes,9.0,5.0,76.0
296,6.0,71.0,No,5.0,2.0,57.0
297,7.0,90.0,Yes,8.0,9.0,82.0
298,2.0,60.0,No,7.0,3.0,35.0
299,2.0,63.0,Yes,4.0,5.0,41.0
300,1.0,99.0,Yes,4.0,6.0,75.0
301,8.0,57.0,No,8.0,2.0,51.0
302,1.0,60.0,Yes,8.0,3.0,34.0
303,9.0,93.0,No,7.0,5.0,92.0
304,,49.0,No,6.0,,39.0
305,7.0,63.0,No,5.0,6.0,56.0
306,7.0,79.0,No,5.0,0.0,69.0
307,3.0,,Yes,5.0,9.0,69.0
308,,60.0,Yes,6.0,8.0,
309,9.0,64.0,Yes,7.0,9.0,63.0
310,8.0,91.0,No,5.0,8.0,86.0
311,7.0,99.0,No,4.0,8.0,89.0
312,9.0,96.0,Yes,4.0,3.0,94.0
313,4.0,98.0,Yes,4.0,1.0,79.0
314,4.0,,No,8.0,6.0,44.0
315,1.0,61.0,No,8.0,3.0,33.0
316,8.0,43.0,No,6.0,4.0,36.0
317,3.0,73.0,Yes,5.0,0.0,50.0
318,7.0,95.0,No,8.0,9.0,
319,2.0,45.0,Yes,,5.0,22.0
320,,,No,8.0,6.0,44.0
321,7.0,70.0,Yes,4.0,2.0,
322,6.0,74.0,No,5.0,9.0,64.0
323,3.0,78.0,Yes,6.0,1.0,58.0
324,9.0,81.0,Yes,7.0,9.0,78.0
325,6.0,62.0,Yes,7.0,6.0,51.0
326,6.0,45.0,No,4.0,0.0,30.0
327,1.0,55.0,Yes,8.0,1.0,
328,4.0,41.0,Yes,8.0,2.0,22.0
329,6.0,63.0,No,4.0,3.0,51.0
330,6.0,56.0,Yes,5.0,4.0,45.0
331,5.0,84.0,Yes,4.0,3.0,70.0
332,1.0,40.0,No,5.0,9.0,10.0
333,8.0,45.0,Yes,6.0,2.0,38.0
334,5.0,44.0,No,6.0,0.0,30.0
335,5.0,96.0,Yes,4.0,6.0,82.0
336,7.0,84.0,No,6.0,9.0,74.0
337,4.0,99.0,Yes,8.0,5.0,87.0
338,6.0,94.0,Yes,5.0,1.0,77.0
339,4.0,89.0,Yes,7.0,1.0,72.0
340,3.0,68.0,No,7.0,2.0,51.0
341,7.0,51.0,Yes,6.0,7.0,40.0
342,8.0,78.0,Yes,5.0,7.0,72.0
343,4.0,86.0,No,8.0,9.0,68.0
344,2.0,42.0,No,7.0,9.0,22.0
345,3.0,87.0,No,8.0,9.0,67.0
346,1.0,40.0,Yes,8.0,9.0,18.0
347,8.0,66.0,Yes,7.0,7.0,64.0
348,3.0,87.0,Yes,7.0,6.0,66.0
349,7.0,63.0,No,6.0,1.0,
350,5.0,83.0,No,5.0,0.0,68.0
351,5.0,58.0,Yes,4.0,5.0,44.0
352,7.0,98.0,Yes,5.0,7.0,90.0
353,9.0,,No,4.0,0.0,41.0
354,5.0,94.0,,7.0,2.0,83.0
355,1.0,83.0,No,,0.0,57.0
356,1.0,86.0,,5.0,9.0,64.0
357,,41.0,No,8.0,8.0,18.0
358,6.0,69.0,No,5.0,6.0,62.0
359,9.0,69.0,No,9.0,7.0,66.0
360,8.0,88.0,,5.0,8.0,85.0
361,5.0,78.0,Yes,8.0,2.0,62.0
362,1.0,84.0,,9.0,9.0,62.0
363,7.0,71.0,Yes,6.0,1.0,62.0
364,5.0,40.0,Yes,7.0,5.0,26.0
365,6.0,77.0,No,6.0,4.0,66.0
366,,52.0,No,6.0,3.0,43.0
367,3.0,,Yes,5.0,5.0,30.0
368,3.0,49.0,No,7.0,5.0,25.0
369,5.0,87.0,Yes,9.0,2.0,77.0
370,6.0,98.0,No,5.0,1.0,88.0
371,9.0,65.0,Yes,4.0,8.0,62.0
372,5.0,95.0,Yes,5.0,7.0,82.0
373,1.0,94.0,Yes,9.0,3.0,
374,4.0,59.0,No,8.0,5.0,44.0
375,5.0,56.0,Yes,5.0,2.0,40.0
376,5.0,56.0,Yes,4.0,7.0,39.0
377,,43.0,No,5.0,2.0,34.0
378,4.0,44.0,,,1.0,27.0
379,1.0,99.0,Yes,4.0,6.0,73.0
380,5.0,62.0,Yes,7.0,,46.0
381,7.0,85.0,No,,8.0,78.0
382,6.0,91.0,Yes,5.0,2.0,80.0
383,5.0,49.0,No,4.0,7.0,33.0
384,4.0,85.0,No,9.0,1.0,68.0
385,2.0,67.0,No,7.0,8.0,45.0
386,4.0,72.0,Yes,8.0,0.0,56.0
387,3.0,82.0,No,6.0,2.0,58.0
388,1.0,65.0,Yes,4.0,1.0,37.0
389,8.0,94.0,Yes,8.0,,88.0
390,5.0,89.0,No,7.0,4.0,75.0
391,4.0,87.0,No,8.0,7.0,70.0
392,8.0,68.0,No,5.0,1.0,
393,7.0,66.0,No,6.0,7.0,57.0
394,2.0,57.0,Yes,4.0,6.0,32.0
395,1.0,79.0,Yes,,4.0,53.0
396,4.0,99.0,No,7.0,1.0,82.0
397,8.0,49.0,Yes,6.0,9.0,41.0
398,2.0,97.0,No,7.0,6.0,75.0
399,3.0,81.0,Yes,8.0,9.0,
400,1.0,44.0,Yes,7.0,3.0,17.0
401,1.0,49.0,Yes,7.0,3.0,24.0
402,3.0,89.0,No,8.0,7.0,69.0
403,5.0,60.0,Yes,8.0,5.0,47.0
404,3.0,63.0,Yes,6.0,8.0,43.0
405,1.0,77.0,Yes,4.0,1.0,48.0
406,,42.0,Yes,8.0,4.0,17.0
407,8.0,79.0,No,6.0,5.0,75.0
408,2.0,70.0,Yes,7.0,7.0,54.0
409,3.0,80.0,No,7.0,3.0,59.0
410,2.0,76.0,No,9.0,6.0,56.0
411,3.0,41.0,Yes,5.0,6.0,20.0
412,7.0,41.0,Yes,8.0,3.0,34.0
413,1.0,78.0,No,6.0,0.0,54.0
414,8.0,88.0,No,,2.0,83.0
415,2.0,,No,6.0,1.0,59.0
416,3.0,83.0,Yes,4.0,2.0,63.0
417,9.0,73.0,Yes,9.0,4.0,72.0
418,7.0,81.0,No,6.0,,70.0
419,4.0,59.0,No,8.0,4.0,41.0
420,5.0,72.0,No,6.0,1.0,54.0
421,2.0,43.0,Yes,5.0,3.0,21.0
422,8.0,84.0,Yes,7.0,5.0,83.0
423,4.0,83.0,No,7.0,,64.0
424,9.0,50.0,Yes,9.0,9.0,51.0
425,5.0,81.0,No,,5.0,66.0
426,9.0,,Yes,6.0,9.0,83.0
427,4.0,44.0,No,6.0,1.0,26.0
428,5.0,64.0,Yes,6.0,7.0,49.0
429,9.0,88.0,Yes,5.0,4.0,85.0
430,8.0,99.0,Yes,8.0,8.0,95.0
431,3.0,76.0,Yes,5.0,9.0,56.0
432,1.0,73.0,Yes,5.0,8.0,50.0
433,3.0,48.0,Yes,5.0,3.0,23.0
434,4.0,45.0,Yes,7.0,0.0,26.0
435,2.0,57.0,No,5.0,8.0,30.0
436,1.0,53.0,No,6.0,8.0,28.0
437,7.0,58.0,No,5.0,7.0,48.0
438,8.0,53.0,Yes,6.0,4.0,46.0
439,7.0,79.0,Yes,9.0,4.0,73.0
440,5.0,56.0,Yes,8.0,9.0,45.0
441,1.0,99.0,No,7.0,5.0,76.0
442,7.0,74.0,No,8.0,0.0,71.0
443,7.0,68.0,No,,8.0,60.0
444,,,No,,4.0,77.0
445,3.0,56.0,No,7.0,6.0,36.0
446,9.0,98.0,No,6.0,7.0,96.0
447,1.0,,Yes,9.0,4.0,62.0
448,1.0,47.0,No,9.0,2.0,22.0
449,4.0,40.0,Yes,6.0,5.0,21.0
450,9.0,84.0,No,6.0,6.0,79.0
451,6.0,92.0,No,7.0,3.0,82.0
452,3.0,75.0,Yes,5.0,8.0,55.0
453,1.0,46.0,Yes,4.0,3.0,22.0
454,4.0,85.0,Yes,5.0,,70.0
455,,44.0,No,5.0,1.0,37.0
456,3.0,63.0,No,8.0,8.0,42.0
457,9.0,67.0,Yes,4.0,3.0,64.0
458,7.0,82.0,No,6.0,3.0,72.0
459,4.0,,Yes,5.0,9.0,42.0
460,3.0,76.0,No,7.0,0.0,56.0
461,5.0,59.0,No,5.0,1.0,43.0
462,5.0,42.0,No,6.0,2.0,24.0
463,3.0,76.0,Yes,5.0,6.0,55.0
464,9.0,65.0,No,9.0,8.0,64.0
465,4.0,54.0,Yes,8.0,,34.0
466,5.0,90.0,Yes,8.0,3.0,78.0
467,4.0,87.0,Yes,5.0,1.0,
468,5.0,47.0,Yes,8.0,6.0,33.0
469,7.0,52.0,Yes,7.0,5.0,46.0
470,9.0,87.0,Yes,4.0,6.0,86.0
471,7.0,42.0,Yes,5.0,7.0,34.0
472,5.0,40.0,Yes,7.0,8.0,26.0
473,7.0,48.0,Yes,9.0,9.0,44.0
474,5.0,70.0,No,7.0,4.0,53.0
475,3.0,80.0,Yes,7.0,4.0,61.0
476,7.0,93.0,No,9.0,3.0,84.0
477,2.0,65.0,Yes,6.0,2.0,40.0
478,9.0,56.0,No,5.0,6.0,53.0
479,1.0,95.0,No,5.0,4.0,67.0
480,6.0,73.0,No,5.0,6.0,58.0
481,7.0,48.0,No,4.0,,41.0
482,8.0,95.0,No,7.0,8.0,89.0
483,9.0,90.0,,5.0,8.0,85.0
484,2.0,52.0,Yes,8.0,8.0,33.0
485,2.0,44.0,Yes,6.0,4.0,20.0
486,5.0,80.0,Yes,9.0,9.0,66.0
487,5.0,52.0,Yes,9.0,8.0,38.0
488,6.0,40.0,Yes,4.0,0.0,25.0
489,3.0,64.0,Yes,9.0,1.0,43.0
490,8.0,86.0,No,6.0,9.0,79.0
491,1.0,43.0,Yes,7.0,4.0,16.0
492,,75.0,No,9.0,4.0,67.0
493,4.0,91.0,No,9.0,5.0,80.0
494,1.0,49.0,No,8.0,7.0,
495,7.0,67.0,No,7.0,0.0,57.0
496,9.0,96.0,No,5.0,9.0,91.0
497,4.0,45.0,No,6.0,8.0,29.0
498,4.0,66.0,Yes,9.0,3.0,48.0
499,6.0,95.0,No,,7.0,84.0
500,3.0,51.0,No,6.0,4.0,33.0
501,6.0,91.0,,4.0,0.0,82.0
502,7.0,87.0,Yes,8.0,8.0,81.0
503,3.0,42.0,Yes,,7.0,24.0
504,7.0,,Yes,9.0,4.0,81.0
505,3.0,72.0,Yes,8.0,,54.0
506,2.0,49.0,Yes,5.0,7.0,25.0
507,4.0,70.0,Yes,6.0,8.0,53.0
508,8.0,54.0,No,6.0,6.0,48.0
509,9.0,46.0,Yes,7.0,3.0,40.0
510,,75.0,No,8.0,6.0,66.0
511,1.0,53.0,Yes,8.0,5.0,29.0
512,3.0,95.0,Yes,4.0,2.0,73.0
513,9.0,87.0,No,8.0,9.0,89.0
514,1.0,53.0,Yes,6.0,2.0,27.0
515,9.0,42.0,Yes,8.0,0.0,40.0
516,8.0,88.0,Yes,7.0,4.0,83.0
517,1.0,92.0,Yes,7.0,7.0,69.0
518,6.0,,Yes,6.0,5.0,72.0
519,5.0,89.0,,6.0,7.0,77.0
520,6.0,42.0,Yes,6.0,6.0,32.0
521,5.0,61.0,No,8.0,1.0,49.0
522,6.0,58.0,Yes,8.0,7.0,44.0
523,5.0,74.0,No,5.0,3.0,57.0
524,5.0,51.0,No,9.0,4.0,34.0
525,,93.0,No,9.0,7.0,76.0
526,3.0,44.0,No,4.0,4.0,22.0
527,3.0,49.0,No,8.0,4.0,30.0
528,4.0,80.0,No,5.0,5.0,67.0
529,9.0,72.0,No,5.0,6.0,71.0
530,2.0,52.0,,7.0,8.0,
531,9.0,74.0,Yes,8.0,6.0,74.0
532,1.0,90.0,Yes,5.0,5.0,67.0
533,1.0,71.0,No,,9.0,46.0
534,5.0,50.0,Yes,4.0,3.0,34.0
535,6.0,87.0,No,7.0,9.0,76.0
536,6.0,77.0,No,4.0,1.0,
537,3.0,63.0,Yes,9.0,8.0,46.0
538,7.0,74.0,No,9.0,9.0,68.0
539,9.0,58.0,No,6.0,4.0,58.0
540,8.0,45.0,Yes,6.0,4.0,41.0
541,6.0,79.0,No,7.0,,64.0
542,8.0,93.0,Yes,6.0,2.0,84.0
543,5.0,84.0,No,8.0,0.0,70.0
544,8.0,83.0,No,7.0,4.0,77.0
545,4.0,81.0,Yes,5.0,2.0,60.0
546,8.0,74.0,Yes,8.0,1.0,65.0
547,2.0,43.0,Yes,7.0,8.0,21.0
548,5.0,72.0,No,9.0,9.0,60.0
549,9.0,52.0,No,4.0,5.0,48.0
550,4.0,95.0,Yes,6.0,2.0,77.0
551,6.0,75.0,Yes,6.0,,63.0
552,1.0,93.0,Yes,6.0,8.0,68.0
553,9.0,82.0,No,7.0,8.0,81.0
554,1.0,58.0,No,8.0,0.0,29.0
555,5.0,82.0,Yes,4.0,1.0,66.0
556,4.0,51.0,Yes,6.0,7.0,36.0
557,3.0,50.0,Yes,8.0,0.0,29.0
558,6.0,45.0,No,5.0,2.0,32.0
559,2.0,51.0,Yes,9.0,,31.0
560,3.0,66.0,Yes,5.0,7.0,45.0
561,5.0,80.0,Yes,4.0,4.0,65.0
562,9.0,64.0,No,6.0,1.0,57.0
563,2.0,81.0,,5.0,2.0,58.0
564,8.0,42.0,Yes,9.0,8.0,38.0
565,,42.0,No,8.0,9.0,22.0
566,5.0,59.0,Yes,8.0,6.0,48.0
567,7.0,67.0,Yes,5.0,0.0,59.0
568,,62.0,Yes,6.0,2.0,58.0
569,1.0,87.0,Yes,9.0,8.0,62.0
570,6.0,42.0,No,4.0,6.0,30.0
571,1.0,81.0,Yes,6.0,1.0,56.0
572,2.0,63.0,Yes,7.0,5.0,40.0
