,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
24,2022-05-28,1.0,8000.0,400.0,1 out of 2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Agent
25,2022-05-22,2.0,7000.0,1000.0,1 out of 1,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,,
26,2022-06-18,1.0,5300.0,355.0,1 out of 1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
27,2022-06-25,2.0,6000.0,1000.0,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1.0,
28,2022-06-22,2.0,8500.0,800.0,4 out of 5,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
29,2022-06-25,,12500.0,,Ground out of 2,Super Area,,Kolkata,,Bachelors/Family,2.0,Contact Owner
30,2022-05-21,1.0,7500.0,350.0,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,,Contact Owner
31,2022-06-26,2.0,15000.0,900.0,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
32,2022-06-16,2.0,6000.0,550.0,1 out of 1,,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
33,2022-06-29,2.0,5000.0,500.0,Ground out of 2,Carpet Area,,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
34,2022-05-10,,22000.0,1100.0,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
35,,2.0,15000.0,850.0,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
36,2022-06-03,2.0,12500.0,800.0,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1.0,Contact Agent
37,2022-05-31,2.0,7000.0,630.0,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
38,2022-06-10,2.0,21000.0,900.0,1 out of 2,Carpet Area,Bansdroni,Kolkata,,Bachelors,2.0,Contact Owner
39,2022-06-24,1.0,10000.0,270.0,1 out of 2,Carpet Area,Jadavpur University,,,Bachelors/Family,1.0,Contact Owner
40,2022-06-29,2.0,7200.0,630.0,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
41,2022-05-12,3.0,12000.0,1500.0,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2.0,Contact Owner
42,2022-06-26,1.0,5000.0,600.0,2 out of 5,,Behala,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
43,2022-04-30,2.0,8500.0,700.0,4 out of 14,Carpet Area,Baruipur,,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
44,,1.0,6000.0,300.0,Ground out of 3,Super Area,,Kolkata,Semi-Furnished,Bachelors/Family,1.0,
45,2022-06-06,2.0,10000.0,1300.0,Ground out of 1,Super Area,,Kolkata,Semi-Furnished,Family,2.0,Contact Owner
46,2022-05-20,2.0,4600.0,400.0,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Owner
47,2022-07-02,2.0,12000.0,650.0,Ground out of 1,,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2.0,Contact Owner
48,2022-05-26,3.0,30000.0,2000.0,Ground out of 2,Super Area,Behala,Kolkata,,Bachelors/Family,2.0,Contact Owner
49,2022-05-12,3.0,15000.0,1068.0,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
50,2022-06-22,1.0,7500.0,150.0,1 out of 1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
51,2022-06-25,1.0,7500.0,,2 out of 2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
52,2022-07-03,2.0,,800.0,Ground out of 1,,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
53,2022-04-23,2.0,15000.0,1000.0,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
54,2022-05-14,2.0,,900.0,5 out of 5,,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Owner
55,2022-05-27,1.0,7000.0,600.0,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
56,2022-06-19,2.0,6000.0,1200.0,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
57,2022-06-19,2.0,6000.0,1200.0,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,,2.0,Contact Owner
58,2022-07-02,2.0,7000.0,650.0,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,,2.0,Contact Owner
59,2022-07-06,2.0,8500.0,720.0,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
60,2022-07-02,1.0,,300.0,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
61,2022-06-21,3.0,30000.0,1200.0,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,,3.0,Contact Agent
62,2022-06-04,2.0,10000.0,700.0,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
63,,3.0,30000.0,2000.0,1 out of 3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
64,2022-05-14,,3500.0,250.0,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
65,2022-06-26,2.0,,,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,,Contact Owner
66,2022-07-02,1.0,5000.0,300.0,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,,1.0,Contact Owner
67,,2.0,7500.0,600.0,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
68,2022-05-18,2.0,6500.0,800.0,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,,Contact Owner
69,2022-06-07,1.0,,680.0,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
70,,1.0,7500.0,680.0,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,,Contact Owner
71,2022-06-26,2.0,16000.0,850.0,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Agent
72,,2.0,16000.0,850.0,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Agent
73,2022-05-30,2.0,6500.0,700.0,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,,1.0,Contact Owner
74,2022-05-22,3.0,40000.0,1500.0,Ground out of 2,Super Area,Beliaghata,,,,2.0,
75,2022-06-18,2.0,12500.0,950.0,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
76,2022-06-08,2.0,5500.0,500.0,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
77,2022-06-25,,5000.0,450.0,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
78,2022-05-03,2.0,6500.0,700.0,Ground out of 2,Super Area,Sonarpur,Kolkata,,Bachelors,1.0,Contact Owner
79,2022-05-12,1.0,8000.0,500.0,1 out of 2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
80,2022-06-01,3.0,14500.0,1800.0,Ground out of 2,Super Area,,Kolkata,,Bachelors/Family,2.0,Contact Owner
81,2022-05-23,1.0,8200.0,500.0,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
82,2022-05-23,2.0,15000.0,480.0,Ground out of 3,,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2.0,Contact Owner
83,2022-06-21,6.0,20000.0,1000.0,,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
84,2022-06-22,2.0,6700.0,800.0,1 out of 2,Super Area,,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
85,2022-05-27,1.0,10000.0,435.0,2 out of 3,Super Area,Kasba,,Unfurnished,Bachelors/Family,1.0,Contact Owner
86,2022-05-07,2.0,7000.0,700.0,Ground out of 2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
87,2022-06-25,2.0,22000.0,800.0,4 out of 4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1.0,Contact Agent
88,2022-06-27,,6500.0,,1 out of 3,Super Area,,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
89,2022-05-31,2.0,8500.0,550.0,2 out of 3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
90,2022-06-03,2.0,18000.0,800.0,Ground out of 4,Carpet Area,Salt Lake City,Kolkata,Unfurnished,,2.0,Contact Agent
91,2022-06-27,,12000.0,550.0,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2.0,Contact Owner
92,2022-05-15,1.0,9000.0,600.0,2 out of 4,Super Area,,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
93,2022-06-09,1.0,6000.0,500.0,Ground out of 1,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
94,2022-04-28,2.0,20000.0,1000.0,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2.0,Contact Owner
95,2022-05-23,1.0,5000.0,300.0,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
96,2022-06-28,2.0,12000.0,1200.0,1 out of 3,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2.0,Contact Owner
97,2022-06-23,2.0,10000.0,500.0,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
98,2022-04-29,4.0,18000.0,1200.0,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2.0,Contact Owner
99,2022-06-13,2.0,15000.0,900.0,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
100,2022-06-13,3.0,22000.0,,Ground out of 2,Carpet Area,Salt Lake City Sector 2,,Unfurnished,Bachelors/Family,3.0,Contact Agent
101,2022-06-13,4.0,35000.0,1600.0,1 out of 5,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3.0,Contact Agent
102,2022-05-14,3.0,21000.0,,Ground out of 1,Super Area,,Kolkata,Unfurnished,Family,2.0,
103,2022-07-06,2.0,25000.0,1100.0,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2.0,Contact Agent
104,2022-06-16,2.0,180000.0,950.0,Ground out of 1,,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
105,,1.0,6000.0,600.0,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
106,2022-07-04,2.0,14000.0,700.0,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
107,2022-05-15,3.0,8000.0,750.0,Ground out of 2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1.0,Contact Owner
108,2022-05-04,2.0,8000.0,1000.0,Ground out of 1,Super Area,"Purbasan, Thakurpukur",Kolkata,,Bachelors/Family,1.0,Contact Owner
109,2022-04-25,1.0,6000.0,220.0,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
110,2022-05-21,,8000.0,300.0,1 out of 3,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1.0,Contact Agent
111,2022-06-27,,6000.0,300.0,Ground out of 1,Carpet Area,,Kolkata,Unfurnished,Bachelors/Family,,Contact Agent
112,2022-07-02,1.0,20000.0,700.0,1 out of 2,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
113,2022-07-06,3.0,12000.0,800.0,Ground out of 1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
114,2022-04-28,3.0,15000.0,1600.0,1 out of 3,,Garia,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
115,2022-05-15,2.0,14000.0,1000.0,,Carpet Area,Kasba,,Unfurnished,Bachelors/Family,2.0,Contact Owner
116,2022-05-30,1.0,5000.0,20.0,2 out of 3,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
117,,2.0,7000.0,400.0,Ground out of 2,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
118,2022-06-23,1.0,3900.0,200.0,2 out of 2,Super Area,,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
119,2022-06-09,3.0,14000.0,840.0,1 out of 4,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2.0,Contact Owner
120,2022-06-19,1.0,,300.0,,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Agent
121,2022-07-03,,13000.0,550.0,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2.0,Contact Agent
122,2022-07-03,1.0,6800.0,300.0,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Agent
123,2022-05-14,2.0,8000.0,800.0,1 out of 1,Super Area,,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
124,2022-05-10,2.0,10000.0,740.0,Ground out of 6,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
125,2022-04-25,2.0,18000.0,1300.0,1 out of 1,,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
126,2022-06-13,2.0,8000.0,650.0,Ground out of 1,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
127,2022-05-06,2.0,8000.0,490.0,1 out of 1,Super Area,Entally,,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
128,2022-06-08,1.0,4700.0,250.0,2 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
129,2022-06-08,1.0,4700.0,250.0,Ground out of 1,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
130,2022-05-06,1.0,4500.0,450.0,1 out of 2,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
131,2022-06-30,1.0,6000.0,300.0,,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
132,,2.0,16000.0,750.0,1 out of 3,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
133,2022-07-01,1.0,4700.0,250.0,1 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
134,2022-06-17,2.0,14000.0,751.0,3 out of 3,Carpet Area,Baghajatin,Kolkata,,Bachelors,1.0,Contact Owner
135,2022-06-26,2.0,9000.0,900.0,Ground out of 2,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Owner
136,2022-06-23,2.0,5000.0,400.0,1 out of 3,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
137,2022-06-13,2.0,17500.0,1000.0,Ground out of 2,Carpet Area,Salt Lake City,Kolkata,,Bachelors/Family,2.0,Contact Agent
138,2022-06-11,2.0,8500.0,1000.0,Ground out of 1,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
139,,3.0,15000.0,1500.0,,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,,Family,,Contact Owner
140,2022-04-25,2.0,12500.0,750.0,1 out of 3,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,,Contact Owner
141,2022-05-11,1.0,13000.0,1200.0,,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
142,2022-05-06,,8000.0,700.0,Ground out of 1,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
143,2022-05-10,2.0,8000.0,700.0,4 out of 4,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
144,2022-05-21,2.0,8000.0,1000.0,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
145,2022-06-12,2.0,7000.0,,1 out of 3,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
146,2022-06-05,2.0,2200.0,550.0,2 out of 3,Super Area,Behala silpara,,Furnished,Bachelors/Family,1.0,
147,2022-06-25,2.0,8000.0,800.0,,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
148,2022-06-11,2.0,5500.0,,1 out of 3,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
149,2022-07-04,3.0,20000.0,1100.0,Ground out of 2,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3.0,Contact Owner
150,2022-05-10,2.0,,950.0,Ground out of 2,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Agent
151,2022-05-13,1.0,3500.0,250.0,1 out of 2,Super Area,,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
152,2022-05-10,2.0,,1000.0,,Carpet Area,Hindmotor,Kolkata,,Bachelors,1.0,Contact Owner
153,2022-06-30,3.0,20000.0,1000.0,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2.0,
154,2022-05-27,2.0,7000.0,650.0,Ground out of 2,Super Area,Howrah,Kolkata,,Bachelors/Family,1.0,Contact Owner
155,2022-06-08,2.0,10000.0,700.0,1 out of 2,,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,,Contact Owner
156,2022-05-15,2.0,7000.0,700.0,Ground out of 3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
157,2022-06-29,3.0,12000.0,1000.0,Ground out of 3,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
158,2022-05-13,2.0,14500.0,900.0,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2.0,Contact Owner
159,2022-05-25,1.0,6000.0,700.0,1 out of 2,Super Area,"VIP Nagar, E M Bypass",,,Bachelors/Family,1.0,Contact Owner
160,2022-07-04,2.0,9500.0,700.0,1 out of 2,Super Area,Jadavpur,,Unfurnished,Bachelors/Family,2.0,Contact Owner
161,2022-06-27,2.0,10000.0,450.0,2 out of 1,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
162,2022-05-06,1.0,3500.0,120.0,Ground out of 3,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
163,,2.0,9000.0,800.0,1 out of 2,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
164,2022-06-07,,40000.0,1220.0,2 out of 3,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
165,2022-06-23,3.0,16500.0,1100.0,Ground out of 3,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
166,2022-06-12,3.0,8000.0,700.0,Ground out of 3,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2.0,Contact Owner
167,2022-05-10,2.0,12000.0,800.0,Ground out of 3,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
168,2022-06-27,2.0,6500.0,670.0,2 out of 2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1.0,Contact Owner
169,2022-04-30,4.0,40000.0,1300.0,1 out of 2,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3.0,Contact Owner
170,2022-05-06,1.0,5000.0,190.0,Ground out of 2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
171,2022-05-24,2.0,9000.0,700.0,Ground out of 2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
172,2022-06-17,1.0,7000.0,240.0,Ground out of 4,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
173,2022-05-19,2.0,18000.0,850.0,2 out of 4,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1.0,Contact Owner
174,2022-05-26,1.0,9000.0,950.0,,Super Area,,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
175,2022-06-11,1.0,5500.0,450.0,1 out of 2,Carpet Area,Botanical Garden Area,Kolkata,,,1.0,Contact Owner
176,2022-06-08,2.0,7500.0,800.0,Ground out of 2,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
177,2022-07-02,2.0,4000.0,600.0,1 out of 2,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,,1.0,Contact Owner
178,2022-05-30,3.0,10500.0,800.0,2 out of 2,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2.0,Contact Owner
179,2022-07-03,3.0,15000.0,1100.0,,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
180,2022-06-16,,15000.0,800.0,Ground out of 2,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
181,2022-05-13,1.0,50000.0,2200.0,2 out of 5,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3.0,Contact Owner
182,2022-06-08,2.0,12000.0,950.0,1 out of 1,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2.0,Contact Owner
183,,2.0,11000.0,550.0,2 out of 3,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
184,2022-06-04,2.0,,1800.0,1 out of 1,Carpet Area,Birati,Kolkata,,Bachelors,,Contact Owner
185,2022-05-11,2.0,8000.0,,Ground out of 2,,"Chinar Park, Rajarhat",Kolkata,,Bachelors/Family,1.0,Contact Owner
186,2022-05-27,2.0,18000.0,600.0,Ground out of 3,Super Area,Bagha Jatin Pally,Kolkata,,Bachelors/Family,2.0,Contact Owner
187,2022-04-24,2.0,8000.0,750.0,2 out of 4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
