age,is_working,job,marital,education,balance,housing,loan,contact,campaign,poutcome,offer,credit
44,yes,management,divorced,tertiary,2367,no,no,cellular,1,success,yes,833
30,no,management,married,secondary,0,no,no,cellular,2,unknown,no,0
28,no,technician,single,secondary,1417,yes,no,unknown,1,unknown,no,86
22,yes,technician,single,secondary,283,yes,no,cellular,2,unknown,yes,128
48,yes,services,single,secondary,561,yes,no,cellular,1,other,no,204
52,no,technician,married,secondary,3431,no,no,cellular,4,unknown,no,189
33,yes,management,divorced,secondary,5,yes,no,unknown,1,unknown,yes,0
35,yes,management,married,tertiary,3109,yes,no,cellular,1,unknown,no,1087
41,yes,admin.,single,secondary,1322,yes,no,cellular,1,failure,no,497
28,no,admin.,single,secondary,260,yes,no,unknown,2,unknown,no,0
49,yes,management,married,tertiary,64,no,no,unknown,1,unknown,yes,43
63,yes,retired,married,secondary,1495,no,no,cellular,1,other,yes,528
57,no,technician,married,secondary,225,yes,no,telephone,7,failure,no,0
33,no,technician,single,secondary,2466,yes,no,cellular,2,unknown,no,134
32,no,blue-collar,married,secondary,822,yes,no,cellular,8,failure,no,38
57,no,retired,married,tertiary,34,no,yes,cellular,1,unknown,no,0
55,no,entrepreneur,married,primary,-24,yes,no,unknown,1,unknown,no,0
42,no,blue-collar,married,secondary,179,yes,no,cellular,1,unknown,no,0
46,no,unknown,married,unknown,677,no,no,cellular,1,failure,no,47
31,yes,technician,married,secondary,318,no,no,cellular,1,unknown,yes,115
43,yes,services,married,secondary,2145,no,no,cellular,1,failure,yes,756
32,no,admin.,single,secondary,-15,no,no,unknown,2,unknown,no,0
30,no,management,married,tertiary,593,yes,yes,cellular,1,unknown,no,39
39,no,entrepreneur,divorced,tertiary,208,yes,no,unknown,2,unknown,no,0
29,no,technician,single,tertiary,3,yes,no,unknown,1,unknown,no,31
39,no,housemaid,married,unknown,9716,no,no,unknown,2,unknown,no,490
35,no,blue-collar,married,secondary,-102,yes,no,cellular,3,unknown,no,0
38,yes,blue-collar,married,primary,1099,yes,no,cellular,5,unknown,no,391
36,no,admin.,single,tertiary,3954,yes,no,unknown,1,unknown,no,207
26,no,unemployed,single,tertiary,2170,no,no,cellular,1,unknown,no,110
59,no,blue-collar,married,secondary,0,yes,no,unknown,1,unknown,no,0
38,yes,blue-collar,married,secondary,205,yes,no,unknown,1,unknown,no,97
27,no,blue-collar,married,primary,1535,yes,no,cellular,1,unknown,no,87
59,yes,technician,married,primary,4198,no,no,cellular,1,success,yes,1479
33,yes,services,single,tertiary,-452,no,no,cellular,2,unknown,yes,0
40,no,technician,single,secondary,45,no,yes,cellular,1,other,no,36
44,yes,services,divorced,secondary,0,yes,yes,unknown,1,unknown,no,0
33,no,technician,married,tertiary,599,yes,no,cellular,2,unknown,no,52
30,yes,management,single,secondary,4642,yes,no,cellular,1,unknown,yes,1635
34,no,blue-collar,married,secondary,634,no,yes,cellular,3,unknown,yes,31
55,no,blue-collar,married,primary,2384,no,yes,telephone,20,unknown,no,128
29,yes,services,divorced,secondary,84,yes,no,cellular,2,unknown,yes,51
42,yes,admin.,divorced,secondary,527,no,yes,cellular,1,unknown,yes,200
31,no,management,single,secondary,783,yes,no,cellular,2,failure,no,57
57,no,retired,married,secondary,479,no,no,telephone,2,unknown,no,32
53,no,management,married,tertiary,193,no,no,unknown,2,unknown,no,0
35,no,technician,single,secondary,2,no,no,cellular,4,unknown,no,0
47,no,management,married,tertiary,5049,no,no,cellular,7,unknown,no,275
33,no,admin.,married,secondary,0,no,yes,cellular,5,unknown,no,31
34,no,services,married,secondary,-353,yes,no,cellular,4,unknown,no,0
42,no,entrepreneur,married,tertiary,34,yes,no,cellular,1,unknown,no,0
41,no,blue-collar,single,secondary,1564,yes,no,cellular,10,other,no,67
33,yes,technician,married,secondary,303,yes,no,cellular,1,success,yes,117
40,no,services,married,primary,-45,no,yes,cellular,1,unknown,no,0
32,yes,self-employed,single,tertiary,2559,no,no,cellular,1,unknown,yes,897
29,no,blue-collar,married,secondary,5903,yes,no,unknown,1,unknown,no,291
42,no,unemployed,divorced,primary,1699,no,yes,cellular,2,unknown,no,105
33,no,admin.,divorced,secondary,-18,yes,no,cellular,1,failure,no,0
44,no,blue-collar,single,primary,38,yes,no,cellular,4,unknown,no,0
46,no,blue-collar,married,primary,57,yes,no,cellular,1,unknown,no,31
50,no,management,married,tertiary,0,no,no,cellular,3,other,no,0
39,no,technician,married,secondary,4444,yes,no,unknown,1,unknown,no,243
27,yes,student,single,secondary,538,no,no,cellular,2,unknown,yes,191
56,no,blue-collar,married,primary,197,no,no,unknown,2,unknown,no,0
25,no,admin.,single,tertiary,760,yes,no,cellular,3,failure,yes,47
27,no,blue-collar,married,secondary,-584,yes,no,cellular,2,unknown,no,0
26,no,technician,single,secondary,342,no,no,cellular,2,unknown,no,0
34,no,admin.,divorced,secondary,1268,yes,no,cellular,3,unknown,no,69
57,yes,housemaid,married,primary,625,no,yes,unknown,1,unknown,yes,223
39,no,management,single,tertiary,26,yes,yes,unknown,4,unknown,no,0
46,no,technician,married,tertiary,0,no,no,unknown,1,unknown,no,0
36,no,admin.,married,secondary,131,yes,no,cellular,1,unknown,no,0
51,no,technician,married,tertiary,7338,no,no,cellular,1,unknown,no,388
34,yes,services,single,secondary,-701,yes,no,cellular,2,unknown,yes,0
30,no,student,single,primary,1527,no,no,telephone,7,unknown,no,98
57,no,retired,married,secondary,256,no,no,cellular,4,unknown,no,0
62,yes,technician,married,secondary,973,no,no,cellular,1,unknown,yes,348
69,yes,retired,married,unknown,426,no,no,telephone,1,success,yes,172
34,no,admin.,married,secondary,4902,yes,no,cellular,1,failure,no,268
41,yes,blue-collar,single,secondary,1085,yes,yes,cellular,1,unknown,yes,392
44,yes,entrepreneur,single,tertiary,1240,yes,no,cellular,1,unknown,no,449
32,no,management,married,tertiary,4307,yes,no,unknown,3,unknown,no,232
51,yes,management,divorced,tertiary,482,yes,no,unknown,1,unknown,no,197
30,yes,technician,single,secondary,863,yes,no,unknown,5,unknown,yes,297
53,yes,unemployed,divorced,secondary,468,no,no,cellular,6,unknown,no,171
47,no,housemaid,divorced,secondary,80,no,no,cellular,2,unknown,no,0
41,yes,housemaid,married,secondary,879,no,no,unknown,2,unknown,yes,319
56,no,unemployed,divorced,primary,802,no,no,telephone,2,unknown,no,50
33,no,management,single,tertiary,474,yes,no,cellular,1,failure,no,36
34,no,admin.,married,secondary,45,yes,no,cellular,1,unknown,no,0
36,no,blue-collar,married,unknown,722,yes,no,cellular,1,failure,no,71
42,yes,unemployed,divorced,secondary,1713,yes,no,unknown,2,unknown,yes,607
53,yes,housemaid,married,primary,104,no,yes,unknown,1,unknown,yes,59
43,no,entrepreneur,married,tertiary,-250,no,no,unknown,1,unknown,no,0
37,no,housemaid,single,primary,199,yes,no,cellular,1,unknown,no,0
56,no,management,married,tertiary,1483,no,no,cellular,4,unknown,no,91
41,no,unemployed,married,secondary,277,yes,no,cellular,3,failure,no,30
35,yes,blue-collar,married,secondary,205,yes,yes,cellular,7,failure,yes,72
39,yes,admin.,married,tertiary,1108,no,no,cellular,1,unknown,yes,392
31,no,blue-collar,single,secondary,707,yes,no,cellular,2,unknown,no,56
58,no,technician,married,tertiary,1692,yes,no,telephone,5,unknown,no,113
40,yes,services,married,primary,1082,yes,no,unknown,2,unknown,yes,363
39,yes,management,married,tertiary,2763,yes,no,unknown,2,unknown,yes,985
64,yes,retired,married,secondary,588,no,no,cellular,1,success,yes,236
31,yes,blue-collar,single,secondary,196,yes,no,cellular,1,failure,yes,71
31,yes,technician,single,tertiary,208,no,no,cellular,7,unknown,yes,107
32,no,admin.,married,secondary,-1,no,no,cellular,2,unknown,no,0
32,no,management,married,tertiary,421,no,no,cellular,6,unknown,no,50
57,yes,blue-collar,married,primary,3109,no,no,cellular,2,success,yes,1095
77,yes,management,married,unknown,1780,yes,no,cellular,2,success,yes,626
51,no,blue-collar,married,primary,3185,yes,no,cellular,1,failure,no,180
35,no,blue-collar,married,secondary,-557,yes,yes,unknown,1,unknown,no,0
47,no,management,married,tertiary,286,no,no,cellular,7,unknown,no,53
58,no,management,married,tertiary,1101,no,no,telephone,3,unknown,no,91
46,no,technician,married,secondary,783,yes,no,cellular,4,unknown,no,41
41,yes,admin.,married,primary,-306,yes,no,unknown,1,unknown,yes,0
35,no,technician,single,secondary,1001,no,yes,cellular,2,unknown,no,66
56,no,blue-collar,married,primary,2765,no,no,cellular,3,unknown,no,161
51,no,blue-collar,married,primary,6343,yes,no,cellular,20,unknown,no,325
35,no,management,single,tertiary,250,no,no,unknown,2,unknown,no,47
54,yes,unknown,married,unknown,895,no,no,cellular,1,unknown,yes,337
67,yes,retired,married,secondary,1146,no,no,cellular,1,failure,yes,411
58,no,services,married,secondary,553,no,yes,telephone,3,unknown,no,65
77,yes,retired,married,tertiary,0,no,no,cellular,1,success,yes,38
37,yes,management,single,tertiary,102,yes,no,cellular,1,failure,yes,49
31,no,blue-collar,married,primary,1601,no,no,cellular,1,failure,no,98
34,yes,housemaid,married,tertiary,11219,no,no,cellular,1,unknown,no,3945
44,no,blue-collar,married,secondary,1147,yes,no,unknown,3,unknown,no,48
37,no,technician,divorced,secondary,141,yes,no,cellular,1,failure,yes,0
44,no,blue-collar,married,secondary,841,no,no,cellular,4,unknown,no,59
44,no,services,married,unknown,67,yes,no,unknown,1,unknown,no,0
37,no,services,married,secondary,1785,yes,no,unknown,4,unknown,no,117
38,no,technician,married,secondary,1409,yes,no,unknown,14,unknown,no,88
27,yes,technician,single,secondary,1511,yes,no,cellular,1,unknown,no,557
30,yes,admin.,single,secondary,270,no,no,cellular,1,success,yes,107
34,yes,management,married,tertiary,0,no,no,cellular,3,other,yes,0
69,no,retired,married,primary,579,no,no,cellular,1,unknown,no,36
39,no,technician,single,tertiary,0,no,no,cellular,2,unknown,no,0
41,no,technician,married,secondary,871,yes,no,unknown,1,unknown,no,65
42,no,management,married,tertiary,0,no,no,unknown,12,unknown,no,0
42,no,services,single,secondary,2628,yes,no,cellular,1,unknown,no,155
31,no,management,single,tertiary,1017,no,no,cellular,1,unknown,no,72
46,no,technician,married,secondary,0,no,no,unknown,2,unknown,no,0
36,no,blue-collar,married,secondary,1563,no,no,cellular,2,unknown,no,111
49,no,blue-collar,divorced,secondary,1869,no,yes,unknown,1,unknown,no,111
55,yes,blue-collar,divorced,secondary,1613,yes,no,cellular,1,failure,yes,574
35,no,technician,married,tertiary,14232,yes,no,cellular,2,unknown,no,725
43,no,management,married,tertiary,1264,yes,no,cellular,2,unknown,no,79
56,no,retired,divorced,primary,1177,no,no,cellular,2,unknown,no,86
24,yes,student,single,secondary,1809,no,no,cellular,1,success,yes,642
44,no,blue-collar,married,primary,3407,yes,no,unknown,2,unknown,no,171
31,no,admin.,single,secondary,1201,no,no,cellular,5,unknown,no,72
48,yes,management,married,tertiary,157,no,no,cellular,4,unknown,yes,80
56,yes,management,married,tertiary,830,yes,yes,unknown,1,unknown,yes,314
34,no,blue-collar,married,secondary,-257,yes,no,cellular,1,failure,no,0
37,yes,technician,married,secondary,1458,no,no,cellular,1,unknown,yes,526
58,no,blue-collar,married,secondary,238,no,no,cellular,8,unknown,no,46
32,yes,technician,single,tertiary,1625,no,no,cellular,1,failure,yes,598
53,yes,management,married,tertiary,3634,no,no,cellular,4,success,yes,1282
23,yes,student,single,secondary,794,no,no,cellular,3,other,yes,302
46,no,services,married,secondary,250,no,no,cellular,6,unknown,no,30
25,no,management,single,tertiary,1348,yes,no,unknown,1,unknown,no,95
22,no,student,single,secondary,1925,no,no,cellular,1,unknown,no,92
32,yes,self-employed,married,secondary,409,no,no,cellular,2,unknown,yes,145
45,no,housemaid,married,secondary,4068,no,no,cellular,1,unknown,yes,213
37,no,management,married,tertiary,539,no,no,cellular,2,failure,no,56
50,no,technician,married,secondary,315,no,no,cellular,10,unknown,no,44
47,no,technician,married,secondary,536,yes,no,cellular,2,success,no,32
37,no,housemaid,married,secondary,187,no,no,unknown,1,unknown,no,0
33,no,services,single,secondary,170,no,no,cellular,1,unknown,yes,36
48,no,technician,married,secondary,2688,no,yes,cellular,2,unknown,no,164
37,no,management,single,tertiary,230,yes,yes,unknown,1,unknown,no,0
35,yes,blue-collar,divorced,primary,1792,yes,no,cellular,6,unknown,yes,639
40,yes,services,married,secondary,473,yes,no,cellular,3,unknown,yes,184
41,yes,management,divorced,tertiary,5037,no,no,cellular,9,other,yes,1773
29,no,management,married,tertiary,1,yes,yes,unknown,1,unknown,no,0
42,no,admin.,married,tertiary,1536,no,no,cellular,1,success,no,124
57,no,retired,married,primary,243,no,no,cellular,4,unknown,no,66
35,yes,technician,single,tertiary,670,no,no,cellular,2,unknown,yes,238
59,no,retired,married,primary,474,no,no,cellular,3,unknown,no,48
31,no,services,single,secondary,605,yes,no,unknown,1,unknown,no,57
32,no,blue-collar,married,secondary,169,yes,no,cellular,2,unknown,no,50
53,yes,admin.,single,secondary,2892,no,no,cellular,3,unknown,yes,1042
34,no,management,married,secondary,2311,yes,no,cellular,1,unknown,no,137
34,no,technician,married,tertiary,0,no,no,cellular,2,unknown,no,0
47,yes,technician,married,secondary,293,no,no,cellular,1,unknown,yes,119
36,no,management,married,tertiary,162,yes,no,cellular,2,unknown,no,0
34,no,management,single,tertiary,2561,no,no,cellular,1,unknown,no,172
30,yes,technician,married,tertiary,541,yes,no,unknown,2,unknown,yes,185
33,yes,services,single,tertiary,395,yes,no,cellular,6,unknown,yes,167
31,no,management,single,tertiary,123,no,no,cellular,2,unknown,no,52
33,no,management,single,tertiary,215,yes,no,cellular,1,unknown,no,41
31,no,services,single,secondary,-45,no,no,unknown,2,unknown,no,0
26,no,student,single,secondary,0,no,no,cellular,1,failure,no,0
58,no,technician,married,tertiary,855,yes,no,telephone,2,unknown,no,72
36,no,technician,married,secondary,-393,no,no,telephone,4,unknown,no,0
30,no,technician,married,secondary,1534,yes,yes,unknown,1,unknown,no,102
35,yes,technician,married,tertiary,22,no,no,cellular,1,unknown,no,0
33,no,admin.,single,secondary,690,no,no,cellular,3,failure,no,37
30,no,management,single,tertiary,13,no,no,cellular,3,unknown,no,45
26,yes,self-employed,single,tertiary,993,no,no,cellular,1,unknown,no,390
36,yes,services,married,unknown,618,no,no,cellular,1,success,yes,221
34,yes,management,single,tertiary,5086,no,no,cellular,4,unknown,yes,1812
30,no,admin.,married,secondary,-170,yes,yes,unknown,1,unknown,no,0
24,yes,student,single,secondary,822,no,no,cellular,1,failure,yes,285
28,yes,technician,single,secondary,-1042,yes,no,unknown,2,unknown,yes,0
42,no,unemployed,married,secondary,1289,no,no,cellular,4,failure,yes,69
31,no,services,married,secondary,28,yes,no,unknown,1,unknown,no,0
81,no,retired,married,primary,0,no,no,telephone,1,unknown,no,0
57,yes,services,married,secondary,504,no,no,cellular,2,unknown,no,172
45,no,technician,married,secondary,2403,no,no,cellular,2,failure,no,127
35,no,services,married,secondary,0,yes,no,cellular,3,unknown,no,0
26,no,blue-collar,single,secondary,535,no,no,cellular,1,unknown,yes,45
33,yes,management,single,tertiary,201,yes,no,cellular,1,failure,no,97
36,no,management,married,tertiary,0,yes,no,cellular,3,failure,no,0
34,yes,management,single,tertiary,2646,no,no,cellular,1,unknown,yes,934
64,no,retired,married,unknown,2923,no,no,cellular,1,unknown,no,171
51,no,services,divorced,secondary,234,no,no,cellular,3,unknown,no,37
22,no,services,single,secondary,2273,no,yes,cellular,1,unknown,no,142
51,no,self-employed,married,tertiary,833,no,no,cellular,3,unknown,no,58
35,no,blue-collar,divorced,secondary,275,no,yes,cellular,5,unknown,no,30
55,no,retired,married,secondary,0,no,no,cellular,1,unknown,no,0
53,no,retired,married,secondary,1296,yes,no,unknown,1,unknown,no,110
64,yes,retired,married,tertiary,1644,no,no,telephone,4,success,yes,585
35,no,technician,divorced,secondary,-281,no,no,cellular,1,unknown,no,0
29,no,management,single,tertiary,1351,no,no,cellular,1,failure,no,90
29,yes,blue-collar,single,unknown,694,yes,yes,cellular,4,unknown,yes,274
30,no,management,single,tertiary,20261,yes,no,cellular,10,unknown,no,1030
31,no,blue-collar,single,primary,2369,yes,yes,cellular,2,unknown,no,133
51,yes,entrepreneur,married,secondary,653,yes,no,cellular,9,other,no,223
35,yes,blue-collar,single,secondary,40,yes,no,unknown,4,unknown,yes,0
54,yes,management,divorced,tertiary,2171,yes,yes,telephone,1,unknown,yes,761
46,yes,blue-collar,married,secondary,1568,yes,no,cellular,1,other,yes,559
30,yes,admin.,married,secondary,4457,yes,no,cellular,4,unknown,yes,1581
48,yes,management,married,tertiary,4006,no,no,cellular,4,unknown,no,1420
31,no,management,single,tertiary,2085,yes,no,cellular,2,failure,no,114
37,yes,technician,single,secondary,3326,yes,no,unknown,1,unknown,yes,1180
59,no,retired,married,secondary,3,no,no,unknown,2,unknown,no,0
55,yes,management,divorced,tertiary,9756,yes,no,cellular,2,other,yes,3422
39,no,blue-collar,married,primary,1005,no,no,unknown,2,unknown,no,64
49,yes,services,married,primary,1830,yes,no,cellular,1,success,yes,652
24,no,admin.,married,secondary,0,yes,no,cellular,1,unknown,no,0
59,no,entrepreneur,married,primary,124,yes,no,cellular,3,failure,no,0
31,no,technician,single,secondary,182,no,no,cellular,5,unknown,no,0
33,no,management,married,tertiary,3713,yes,no,cellular,1,unknown,no,207
36,no,unemployed,single,tertiary,1291,no,no,cellular,1,unknown,yes,78
36,no,management,married,tertiary,5057,yes,no,cellular,1,failure,no,281
41,yes,self-employed,married,secondary,323,yes,no,cellular,2,other,yes,127
51,yes,management,married,tertiary,3463,no,yes,cellular,2,other,yes,1211
48,no,technician,single,secondary,309,no,no,cellular,2,unknown,no,46
47,no,self-employed,married,tertiary,2303,yes,no,cellular,2,failure,no,133
29,yes,self-employed,single,tertiary,121,yes,no,unknown,2,unknown,yes,70
58,no,management,married,secondary,-382,no,no,telephone,4,success,no,0
30,no,blue-collar,single,secondary,447,no,no,cellular,2,failure,no,37
32,no,blue-collar,married,secondary,419,yes,no,cellular,3,failure,no,39
32,no,admin.,married,secondary,-458,no,no,unknown,1,unknown,no,0
24,yes,student,single,tertiary,3415,no,no,cellular,1,unknown,yes,1210
36,yes,entrepreneur,single,secondary,866,yes,no,cellular,1,failure,yes,305
34,yes,blue-collar,married,primary,695,yes,yes,unknown,4,unknown,yes,239
40,no,admin.,married,tertiary,0,yes,no,unknown,2,unknown,no,0
51,no,entrepreneur,married,tertiary,267,yes,no,unknown,1,unknown,no,34
31,no,admin.,single,secondary,626,yes,no,unknown,1,unknown,no,46
39,no,entrepreneur,married,secondary,283,yes,no,unknown,2,unknown,no,0
33,no,technician,single,tertiary,196,yes,no,cellular,5,unknown,no,0
32,no,technician,divorced,secondary,202,yes,no,cellular,1,failure,no,0
32,no,unemployed,single,secondary,5670,no,no,cellular,1,unknown,no,297
28,yes,services,single,primary,198,no,no,cellular,2,unknown,yes,89
45,no,management,married,tertiary,2363,no,no,cellular,1,other,no,123
48,yes,housemaid,married,secondary,513,no,yes,cellular,3,unknown,yes,195
36,yes,management,married,tertiary,625,yes,no,cellular,9,unknown,yes,236
54,no,blue-collar,married,primary,2102,yes,no,unknown,1,unknown,no,143
46,yes,admin.,single,tertiary,2889,yes,no,cellular,1,unknown,yes,1016
58,no,services,married,primary,65,no,no,unknown,1,unknown,no,0
37,no,services,married,secondary,-954,yes,no,cellular,1,failure,no,0
52,no,retired,married,secondary,1956,no,no,unknown,2,unknown,no,118
34,yes,unemployed,single,tertiary,415,no,no,cellular,1,unknown,no,166
